listing_id,lat,lon,enjoyability,consistency,popularity,happiness,walkability,transit
3781,42.364129999999996,-71.02991,0.975,0.3868059162634555,0.043859649122807015,,0.4211424496025261,0.006427915518824609
1042420,42.38362,-71.02023,0.85,0.3056244276649525,0.25146198830409355,,0.40473448098261405,0.0060467396633436836
3965313,42.386790000000005,-71.00301999999999,0.7,0.15583487300718457,0.2631578947368421,,0.13047628097216243,0.005689900426742532
4315428,42.39067,-71.00386,0.5,0.18643090087562103,0.0,,0.0,0.0
4315439,42.38921,-71.00268,0.7,0.23105206731470407,0.011695906432748537,,0.7337986041874415,0.016
4614037,42.37911,-71.03406,0.9,0.25138055994781033,0.49707602339181284,,0.13137955434246387,0.0053712103127238
4810824,42.3803,-71.03704,0.725,0.18261059552980913,0.02046783625730994,,0.28844284755795657,0.009433962264150943
5364137,42.38704,-71.00581,0.725,0.2529136467454539,0.23391812865497075,,0.06734568687476519,0.011257953989231522
5478135,42.38364,-71.0001,0.925,0.359052105390085,0.07602339181286549,,0.09852290604020428,0.008055853920515575
5806428,42.38127,-71.03102,0.85,0.21344415674020073,0.08771929824561403,,0.27572592842714483,0.005511022044088177
5940866,42.37619,-71.03354,0.95,0.2833242045955013,1,,0.2317430943076855,0.004755771326662043
7179321,42.37202,-71.03703,0.975,0.29250055518286927,0.04678362573099415,,0.2875386380044833,0.006269592476489028
7880828,42.37747,-71.03034,0.875,0.20394881499764567,1,,0.2171858536466382,0.0055248618784530384
8065282,42.374970000000005,-71.03336999999999,0.85,0.25964378898180235,1,,0.1784641681557984,0.007154961400866127
8231382,42.37594,-71.03634,0.7,0.24417783220810416,0.4415204678362573,,0.38157527417746956,0.0056
8624898,42.37574,-71.0318,0.825,0.2622199742470466,0.9239766081871345,,0.1361693014289611,0.005873620344671787
8859689,42.37575,-71.02989000000001,0.825,0.3164966409113943,0.17543859649122806,,0.17862672935429444,0.007789678675754625
9145242,42.3763,-71.03299,0.9,0.21564688637338258,0.8333333333333334,,0.2798556991746668,0.008043639053254437
9382898,42.37914,-71.03956,0.85,0.2944029934551647,0.7807017543859649,,0.15891112485110262,0.007218652999350321
9751520,42.365829999999995,-71.03529,0.75,0.48441471784894974,0.0029239766081871343,,0.650530677471136,0.0070921985815602835
10132073,42.37045,-71.04026,0.925,0.28979464961666523,0.1111111111111111,,0.09932303792466723,0.011911207363291824
10411383,42.37695,-71.03023,0.85,0.12174039701987276,0.049707602339181284,,0.0,0.004329004329004329
11618815,42.3663,-71.03801,0.975,0.26089396507292967,0.43859649122807015,,0.32970821539694534,0.006182602444284687
12344142,42.36893,-71.0419,0.9,0.2929591441795151,0.34210526315789475,,0.23551155926571712,0.008911040628303881
13046976,42.379129999999996,-71.03983000000001,0.925,0.2370654344320037,0.10526315789473684,,0.2695806775119182,0.006612784717119765
13393418,42.377759999999995,-71.03474,0.85,0.2127785952172783,1,,0.21266844627408207,0.004939516129032258
13594886,42.36813,-71.03471,0.9,0.23951665981224637,1,,0.2617622761358988,0.004892190614241711
13874533,42.375659999999996,-71.03265999999999,0.825,0.27578359813044395,0.6286549707602339,,0.3526411621328883,0.008104738154613466
13883902,42.3689,-71.03647,0.725,0.20805970652575614,0.07309941520467836,,0.4781485257520253,0.006081668114682885
13908031,42.3686,-71.03379,0.925,0.22153466436305325,0.41228070175438597,,0.19189294042558616,0.00494484594903005
14918032,42.37705,-71.03119000000001,0.875,0.199356267295618,0.13742690058479531,,0.211469338382548,0.0069164265129683
14936017,42.36804,-71.0382,0.925,0.2453228569166921,0.7134502923976608,,0.5373813250988515,0.0073953131002689205
15018607,42.3699,-71.03773000000001,0.9,0.24846220106100192,0.7660818713450293,,0.4233453485696778,0.00971153846153846
15071413,42.36544,-71.03185,0.9,0.24958220924421612,0.804093567251462,,0.46841832904258685,0.008542246982358403
15281436,42.37839,-71.03251,0.75,0.20072975802708845,0.1608187134502924,,0.13255032590091068,0.008670520231213872
15405175,42.381009999999996,-71.03065,0.975,0.22398691162652148,0.3216374269005848,,0.3618812158999087,0.008679642293529721
17974950,42.3766,-71.03634,0.975,0.21146335709204003,1,,0.18741663651986415,0.003972983710766786
18290558,42.376540000000006,-71.03772,0.95,0.20411918815694585,1,,0.20116318725820814,0.003655193420651843
18342681,42.374970000000005,-71.03751,0.95,0.2133943237425645,1,,0.13679577700390838,0.003976990270577374
18342707,42.375859999999996,-71.0372,0.975,0.21809327731494643,1,,0.19922855239667722,0.0031028918952463696
18488956,42.36445,-71.03234,0.925,0.2624304431862498,0.6345029239766082,,0.35311815049078316,0.004994277390490063
18613633,42.38848,-71.00211999999999,0.5,0.2987478780424911,0.008771929824561403,,0.0,0.010135135135135136
18829493,42.38041,-71.03237,0.975,0.2549427938517474,0.6842105263157895,,0.20840092548956565,0.0040276773727150675
18858706,42.373979999999996,-71.03305999999999,0.925,0.23994236650236717,0.8187134502923976,,0.2163713902748308,0.008165487207403375
18942329,42.37378,-71.03215,0.85,0.24750071894416742,0.6461988304093568,,0.2000022153454505,0.006749039559754958
19071875,42.38025,-71.03973,1.0,0.09508315527354078,0.023391812865497075,,0.4169310251065008,0.0
19199379,42.37769,-71.03468000000001,0.925,0.23855315381108955,0.5350877192982456,,0.276453072028422,0.006279040562602034
19209066,42.38991,-71.00155,1.0,0.2872869620050554,0.0,,0.0,0.0
19310183,42.36595,-71.0318,0.95,0.21410689071416952,0.049707602339181284,,0.1860544128264304,0.0030425963488843813
19315157,42.37618,-71.03302,0.85,0.21463239493840455,1,,0.17652968730452306,0.006697459584295612
19672185,42.3748,-71.03404,0.9,0.24339063934131927,0.6578947368421053,,0.2968440955450815,0.007011866235167206
