listing_id,lat,lon,enjoyability,consistency,popularity
3781,42.364129999999996,-71.02991,0.9788000847996609,0.33216594933758326,0.0661397532987202
1042420,42.38362,-71.02023,0.8728005087979648,0.2958198824905438,0.4607736146477507
3965313,42.386790000000005,-71.00301999999999,0.7456010175959297,0.15200883811029015,0.2844009391844968
4315428,42.39067,-71.00386,0.576001695993216,0.172527847220149,0.0022046584432906732
4315439,42.38921,-71.00268,0.7456010175959297,0.22822410054720843,0.013227950659744038
4614037,42.37911,-71.03406,0.9152003391986432,0.2525027304515855,0.6250206686729058
4810824,42.3803,-71.03704,0.7668009327962688,0.16899244051481807,0.0077163045515173554
5364137,42.38704,-71.00581,0.7668009327962688,0.24350066418171198,0.4111687996737105
5478135,42.38364,-71.0001,0.9364002543989824,0.33810932734566373,0.13668882348402173
5806428,42.38127,-71.03102,0.8728005087979648,0.22493505249917206,0.055116461082266824
5940866,42.37619,-71.03354,0.9576001695993216,0.2744922845847749,1
7179321,42.37202,-71.03703,0.9788000847996609,0.2741299968441207,0.07054907018530154
7880828,42.37747,-71.03034,0.894000423998304,0.18987200154402895,1
8065282,42.374970000000005,-71.03336999999999,0.8728005087979648,0.2562799096169561,1
8231382,42.37594,-71.03634,0.7456010175959297,0.23916277610603995,0.5974624381317724
8624898,42.37574,-71.0318,0.8516005935976256,0.2505990202363201,1
8859689,42.37575,-71.02989000000001,0.8516005935976256,0.3027434464023374,0.24802407487020073
9145242,42.3763,-71.03299,0.9152003391986432,0.20441078769004237,1
9382898,42.37914,-71.03956,0.8728005087979648,0.2832510916490417,1
9751520,42.365829999999995,-71.03529,0.788000847996608,0.4482895702359609,0.009920962994808028
10132073,42.37045,-71.04026,0.9364002543989824,0.28116013534151724,0.12566553126756835
10411383,42.37695,-71.03023,0.8728005087979648,0.11954093922400179,0.0694467409636562
11618815,42.3663,-71.03801,0.9788000847996609,0.2715993400450912,0.5048667835135641
12344142,42.36893,-71.0419,0.9152003391986432,0.2810005529518932,0.2899125852927235
13046976,42.379129999999996,-71.03983000000001,0.9364002543989824,0.21981672671820587,0.1719633585766725
13393418,42.377759999999995,-71.03474,0.8728005087979648,0.20159998961355438,1
13594886,42.36813,-71.03471,0.9152003391986432,0.23523998879400326,1
13874533,42.375659999999996,-71.03265999999999,0.8516005935976256,0.2479470043616471,0.7275372862859221
13883902,42.3689,-71.03647,0.7668009327962688,0.1937402874521345,0.10692593449959764
13908031,42.3686,-71.03379,0.9364002543989824,0.21177172605193967,0.4497503224312973
14918032,42.37705,-71.03119000000001,0.894000423998304,0.19380855737472022,0.15873540791692844
14936017,42.36804,-71.0382,0.9364002543989824,0.23696631538475754,0.7363559200590848
15018607,42.3699,-71.03773000000001,0.9152003391986432,0.23241836575829095,0.8543051467751358
15071413,42.36544,-71.03185,0.9152003391986432,0.23897574228436028,0.7892677226980609
15281436,42.37839,-71.03251,0.788000847996608,0.20038948714389976,0.17637267546325383
15405175,42.381009999999996,-71.03065,0.9788000847996609,0.2162911316511382,0.3692802892511877
17974950,42.3766,-71.03634,0.9788000847996609,0.20257233908289193,1
18290558,42.376540000000006,-71.03772,0.9576001695993216,0.1933173360444509,1
18342681,42.374970000000005,-71.03751,0.9576001695993216,0.20711754121347487,1
18342707,42.375859999999996,-71.0372,0.9788000847996609,0.20927863610031247,1
18488956,42.36445,-71.03234,0.9364002543989824,0.2378799255644883,0.6834441174201087
18613633,42.38848,-71.00211999999999,0.576001695993216,0.170956555351113,0.008818633773162693
18829493,42.38041,-71.03237,0.9788000847996609,0.25726904616441226,0.5445506354927963
