listing_id,neighborhood_accuracy,num_reviews
3781,64.09836065573771,61
1042420,52.25059665871122,419
3965313,27.312741312741313,259
4315428,56.0,3
4315439,44.69230769230769,13
4614037,50.778169014084504,568
4810824,31.125,8
5364137,44.49465240641711,374
5478135,69.648,125
5806428,57.431372549019606,51
5940866,49.775584795321635,1368
7179321,50.41538461538462,65
7880828,37.95454545454545,1232
8065282,39.31791907514451,1211
8231382,39.920810313075506,543
8624898,40.973247232472325,1084
8859689,42.203539823008846,226
9145242,38.25309917355372,968
9382898,44.042437431991296,919
9751520,87.5,10
10132073,50.85217391304348,115
10411383,26.390625,64
11618815,52.18300653594771,459
12344142,49.01893939393939,264
13046976,31.78980891719745,157
13393418,33.019387116948096,1599
13594886,38.78061558611657,1527
13874533,40.94553706505295,661
13883902,42.326530612244895,98
13908031,40.82885085574572,409
14918032,40.42068965517242,145
14936017,45.7085201793722,669
15018607,41.608247422680414,776
15071413,43.59832635983263,717
15281436,44.40372670807454,161
15405175,37.17857142857143,336
17974950,37.60346487006737,1039
18290558,35.012844036697246,1090
18342681,34.23384615384615,975
18342707,36.28776978417266,973
18488956,40.312399355877616,621
18613633,40.55555555555556,9
18829493,42.28888888888889,495
18858706,36.768115942028984,759
18942329,36.07794361525705,603
19071875,34.733333333333334,30
19199379,37.064516129032256,465
19209066,35.0,3
19310183,39.45652173913044,46
19315157,32.62599206349206,1008
19672185,36.94701986754967,604
19727919,31.38856304985337,682
20055667,41.54347826086956,92
20137158,37.07,200
20268369,33.43589743589744,39
20479416,32.262458471760795,301
20663729,37.65934065934066,182
21134436,35.30769230769231,143
21771037,35.28358208955224,402
22041148,43.31666666666667,120
22099733,33.71262699564586,689
22291813,29.760416666666668,480
22327139,33.084375,640
22327141,34.38846737481032,659
22327142,34.96108291032149,591
22940115,40.94133333333333,375
23004674,39.90277777777778,144
23258400,47.0,2
23801768,0.0,2
24809947,35.81818181818182,110
24944930,35.47983014861996,471
25326962,36.54421768707483,294
25328440,38.0,293
25933888,28.91269841269841,126
26102579,29.142857142857142,14
26104302,0.0,2
26104687,44.07692307692308,13
26105250,52.857142857142854,14
26105589,17.0,4
26108847,41.75,8
26109078,68.55555555555556,9
26109200,61.0,8
26132566,61.0,1
26360101,48.898305084745765,118
26429376,36.046875,128
26828892,26.663129973474803,377
27203329,32.69613259668508,181
27501160,42.88,150
28494167,38.02040816326531,147
28808333,38.549019607843135,102
28863227,27.204545454545453,220
28868366,24.25461254612546,271
28888004,39.13265306122449,294
28915006,39.142857142857146,28
28964603,42.17766497461929,197
28965215,13.8125,16
28965363,19.043478260869566,23
29134558,33.056291390728475,302
29161033,33.540983606557376,305
29261726,38.54597701149425,174
29414748,29.82634730538922,167
29728508,51.77272727272727,44
30349609,32.51048951048951,143
30772045,15.887323943661972,71
31012973,44.171052631578945,76
31013793,53.61666666666667,60
31037655,35.23728813559322,59
31654015,26.394736842105264,76
31676605,20.92105263157895,76
31676758,29.88617886178862,123
31759863,30.053333333333335,75
31761449,41.93258426966292,89
32012250,88.0,2
32342686,43.381443298969074,97
33446838,0.0,2
34125814,43.827586206896555,58
34155448,30.508064516129032,124
34227954,19.9375,112
34228492,22.28787878787879,66
34228708,27.634328358208954,134
34229078,30.385714285714286,70
34283601,27.016666666666666,60
34742835,46.04545454545455,66
35027638,38.810344827586206,58
35124890,26.757142857142856,70
35236258,23.0,28
35420961,33.85454545454545,55
35579707,42.6,5
35617006,36.4,45
35689708,36.4,10
35693019,38.666666666666664,3
35836205,40.1,40
35932377,34.86,100
36143286,23.151515151515152,33
36233245,33.0,55
36269383,36.4390243902439,41
36630748,29.0,10
36733785,30.0,1
36766327,48.75,60
37589402,32.30769230769231,13
38022947,22.0,12
38100230,35.16,25
38207179,46.89655172413793,29
38217054,60.714285714285715,21
38647730,47.125,32
38689783,25.685714285714287,35
38919697,37.166666666666664,6
38947321,38.0,1
39788966,38.857142857142854,7
39885632,12.666666666666666,3
39901056,22.4,5
39901097,30.896551724137932,29
40406713,44.75,12
40469593,28.5,10
40474148,11.416666666666666,12
40502847,25.875,8
40898922,0.0,1
40944781,0.0,1
40991291,78.5,2
41360953,17.0,4
41375631,7.0,1
9273,73.98484848484848,66
1141522,43.664408866995075,1624
1147871,43.02742230347349,1641
1178106,39.88176100628931,1590
1178162,44.994645247657296,1494
3615760,47.68032786885246,610
3802530,73.87037037037037,54
3965492,33.90557939914163,233
3965658,33.08571428571429,140
3966626,31.56122448979592,196
3966772,29.38167938931298,131
3967016,31.828402366863905,169
3967137,47.88,25
3967592,32.298850574712645,87
3967690,35.26066350710901,211
4638356,48.349726775956285,366
5616179,60.5,236
5990808,58.39655172413793,290
7678756,79.42105263157895,19
7809904,52.609756097560975,246
8252058,39.36543909348442,1059
8469735,78.53571428571429,28
9858437,63.74626865671642,67
9897713,35.708333333333336,24
10356880,55.799418604651166,344
11625336,10.0,3
11695285,45.75,116
11866869,199.0,4
12308927,35.878116343490305,361
12345890,27.4,15
12646288,61.43333333333333,30
12699603,111.0,11
13100828,54.8252427184466,103
13433317,48.8,25
13884549,35.26019690576653,711
13926704,37.0,5
14255219,33.216312056737586,282
14824568,31.51923076923077,364
15166391,42.340314136125656,764
15374913,32.559633027522935,327
15714436,48.28125,32
15990488,45.45454545454545,198
16276965,50.62068965517241,174
16427608,53.883116883116884,77
16498016,40.5,4
17218847,14.818181818181818,88
17365333,58.572,250
17448181,44.93665158371041,221
17607186,53.0,2
17636554,34.60189573459716,211
18073084,19.0,8
18093265,53.083333333333336,36
18508677,39.07532956685499,531
18613760,38.42857142857143,21
18626944,51.311627906976746,215
19019422,48.333333333333336,9
19019981,85.0,9
19121881,19.0,3
20148844,49.151898734177216,158
20432569,60.833333333333336,12
21554511,33.28409090909091,264
21559343,53.21348314606742,89
21733394,43.07878787878788,165
21829663,36.42465753424658,146
22210876,38.38,50
22525268,30.778816199376948,321
22731313,47.95348837209303,129
23046154,42.00847457627118,118
23681506,41.359223300970875,103
23948295,35.86470588235294,170
24140169,41.15068493150685,146
24299162,40.74683544303797,158
24397404,14.75,4
24409076,40.80555555555556,36
25013220,52.04054054054054,74
25231740,40.0,28
25253044,44.69444444444444,36
26130049,38.52439024390244,82
26783190,43.16,25
26786953,47.30769230769231,13
27565509,65.53333333333333,15
27770672,37.23529411764706,17
28343940,35.49006622516556,151
28611767,36.172661870503596,139
28611857,35.96,125
28611947,38.262773722627735,137
28612032,39.0,134
28612138,30.221374045801525,131
28860173,36.79245283018868,53
28864071,35.568627450980394,51
28874947,27.015748031496063,127
29092786,27.896551724137932,87
29329595,142.0,1
29479677,34.833333333333336,36
30468182,88.0,2
30690903,28.142857142857142,7
30901654,36.6,5
32127951,30.3125,32
32192558,44.55555555555556,9
32844518,30.069767441860463,43
33426631,30.48780487804878,41
33525887,59.479166666666664,48
33617830,31.235294117647058,17
33637201,39.09090909090909,33
33638588,44.875,24
33638610,31.833333333333332,42
33639176,38.0,21
33639432,46.53333333333333,15
33748061,35.23809523809524,42
33776526,19.36,25
33776528,21.829268292682926,41
33778342,35.0,35
33795513,28.609756097560975,41
33823155,18.727272727272727,22
33958356,20.08695652173913,23
34227158,32.20338983050848,59
34228239,34.96666666666667,30
34516136,20.083333333333332,12
34530997,40.4,15
34839372,31.583333333333332,12
34854132,27.2,15
34854597,13.782608695652174,23
34855179,23.5,20
34855533,15.88888888888889,18
34995127,17.61904761904762,21
35196645,2.0,1
35512597,23.85,20
35608434,35.51724137931034,29
35651840,39.04545454545455,22
35736481,131.33333333333334,3
36171579,53.904761904761905,21
36451585,19.5,12
37169933,40.27272727272727,11
37171809,2.0,1
37172361,35.0,5
37172799,30.0,14
37596104,13.75,4
38019483,85.0,3
39003746,15.0,1
39033952,8.5,2
118905,46.125,72
182049,49.96350364963504,137
2441095,53.00810810810811,370
2778656,74.7,30
4107959,57.11498257839721,287
6614984,51.53146853146853,143
10233104,40.183673469387756,392
10524612,46.00714285714286,140
11398953,42.66891891891892,148
11498416,37.86374695863747,411
11498523,38.95377128953771,411
11498583,33.679906542056074,428
11593592,67.84615384615384,195
12233043,37.351724137931036,435
12233225,40.32471264367816,348
12233285,40.28888888888889,360
12560987,44.04950495049505,202
12604733,38.375,8
14948523,52.698113207547166,53
15026535,38.5,6
15343566,38.34057971014493,138
15494066,65.4,25
15500230,42.69832402234637,179
16179346,40.0,1
16352510,69.8225806451613,62
17387160,43.921052631578945,38
17611122,32.05042016806723,238
17611434,35.04128440366973,218
17962927,48.609375,128
18560282,37.44166666666667,120
18609417,56.6,5
19296973,30.413793103448278,29
19404709,55.0,2
19658035,35.42857142857143,7
19820050,61.214285714285715,28
20227983,51.5,2
20282569,38.07142857142857,28
20567199,34.78787878787879,33
20624939,39.475,80
20650166,40.098591549295776,71
20663083,54.3,10
20696002,45.666666666666664,30
20710110,29.682926829268293,41
20710408,24.0,11
20805018,44.78125,64
20861300,52.86363636363637,22
20933869,54.63461538461539,52
21176767,38.0,3
21244726,34.13513513513514,37
21248343,18.75,4
21408163,47.32142857142857,28
21646304,38.38235294117647,68
21941640,46.21153846153846,52
22105624,36.94117647058823,17
22107267,48.35294117647059,17
22107268,22.8,20
22765330,47.425925925925924,54
22889540,13.6,5
22889640,29.428571428571427,7
22889733,19.555555555555557,9
23090526,74.14285714285714,7
23190483,25.321428571428573,28
23483066,8.666666666666666,3
23544304,25.68,75
23890893,30.515151515151516,66
23892425,25.333333333333332,54
23893092,32.170212765957444,47
23893801,35.654545454545456,55
24077189,36.53225806451613,62
24077385,31.950819672131146,61
24077632,30.632911392405063,79
24077827,30.0,42
24078031,44.4,60
24160306,50.95,20
24219045,27.394736842105264,38
24267388,52.793103448275865,29
24300286,39.44444444444444,9
24560253,94.5,2
24770791,50.09756097560975,41
24799020,42.40625,32
24896294,51.8125,32
24939830,24.0,2
25516679,49.875,8
25741467,44.208333333333336,24
26007239,35.69230769230769,13
26753582,32.36,25
26772307,34.5,10
26895576,52.75,8
27288026,24.25,4
27289117,45.857142857142854,7
27289356,68.17647058823529,17
27289449,47.5,6
27525182,33.333333333333336,6
27705916,26.25,4
27932933,51.666666666666664,3
28033157,33.333333333333336,6
28078022,30.818181818181817,11
28250834,24.0,5
28691218,112.5,2
28775958,41.0,4
18575841,34.714285714285715,28
20870095,55.0,14
20660605,27.333333333333332,3
5534206,51.0,2
13820571,45.604395604395606,91
4868653,69.63333333333334,30
12580274,30.893617021276597,94
13908638,32.8150289017341,173
1458081,57.28712871287129,101
14216418,1.0,1
20216776,33.23076923076923,13
14564883,44.5,6
20217062,12.88888888888889,9
20216964,71.66666666666667,6
21009527,0.0,1
16690490,30.76923076923077,13
19102778,28.25,4
14072256,27.1625,160
18755420,46.9375,32
16071749,30.09090909090909,11
19102654,25.318181818181817,22
17333101,35.47222222222222,36
19593585,34.0,9
15857974,47.56060606060606,66
